trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
112804749,17:26:00,17:26:00,26262,1,,0,1,,1
112804860,07:32:00,07:32:00,17712,4,,0,0,,1
112822978,06:21:04,06:21:04,16520,32,,0,0,,0
112822978,06:23:00,06:23:00,34660,33,,1,0,,1
112822979,06:57:00,06:57:00,23152,1,,0,1,,1
112822979,06:57:51,06:57:51,26585,2,,0,0,,0
112822979,06:58:24,06:58:24,34437,3,,0,0,,0
112822979,06:58:45,06:58:45,33574,4,,0,0,,0
112822979,07:00:23,07:00:23,33575,5,,0,0,,0
112822979,07:00:44,07:00:44,23153,6,,0,0,,0
112822979,07:01:28,07:01:28,23154,7,,0,0,,0
112822979,07:02:27,07:02:27,23155,8,,0,0,,0
112822979,07:03:21,07:03:21,23156,9,,0,0,,0
112822979,07:04:00,07:04:00,23157,10,,0,0,,1
112822979,07:04:18,07:04:18,26587,11,,0,0,,0
112822979,07:05:00,07:05:00,23158,12,,0,0,,0
112822979,07:05:54,07:05:54,33187,13,,0,0,,0
112822979,07:06:25,07:06:25,33185,14,,0,0,,0
112822979,07:07:00,07:07:00,11756,15,,0,0,,1
112822979,07:07:25,07:07:25,11754,16,,0,0,,0
112822979,07:08:20,07:08:20,11747,17,,0,0,,0
112822979,07:09:00,07:09:00,11742,18,,0,0,,0
112822979,07:09:38,07:09:38,11732,19,,0,0,,0
112822979,07:10:09,07:10:09,11737,20,,0,0,,0
112822979,07:10:40,07:10:40,11728,21,,0,0,,0
112822979,07:11:16,07:11:16,11726,22,,0,0,,0
112822979,07:12:00,07:12:00,11771,23,,0,0,,1
112822979,07:12:21,07:12:21,11769,24,,0,0,,0
112822979,07:13:37,07:13:37,11759,25,,0,0,,0
112822979,07:15:00,07:15:00,11749,26,,0,0,,0
112822979,07:15:51,07:15:51,11740,27,,0,0,,0
112822979,07:16:53,07:16:53,11730,28,,0,0,,0
112822979,07:18:51,07:18:51,16515,29,,0,0,,0
112822979,07:19:19,07:19:19,19129,30,,0,0,,0
112822979,07:19:52,07:19:52,16518,31,,0,0,,0
112822979,07:21:04,07:21:04,16520,32,,0,0,,0
112822979,07:23:00,07:23:00,34660,33,,1,0,,1
112822980,10:42:00,10:42:00,11771,1,,0,1,,1
112822980,10:42:14,10:42:14,11769,2,,0,0,,0
112822980,10:43:06,10:43:06,11759,3,,0,0,,0
112822980,10:44:03,10:44:03,11749,4,,0,0,,0
112822980,10:44:38,10:44:38,11740,5,,0,0,,0
112822980,10:45:20,10:45:20,11730,6,,0,0,,0
112822980,10:46:00,10:46:00,11764,7,,0,0,,1
112822980,10:46:30,10:46:30,11774,8,,0,0,,0
112822980,10:46:54,10:46:54,11768,9,,0,0,,0
112831949,14:54:00,14:54:00,34660,12,,0,0,,1
112831949,15:09:09,15:09:09,23955,13,,0,0,,0
112831949,15:11:00,15:11:00,34344,14,,1,0,,1
112831950,14:00:00,14:00:00,18977,1,,0,1,,1
112831950,14:07:00,14:07:00,12433,2,,0,0,,1
112831950,14:08:20,14:08:20,12434,3,,0,0,,0
112831950,14:10:00,14:10:00,12478,4,,0,0,,1
112831950,14:12:29,14:12:29,12509,5,,0,0,,0
112831950,14:14:00,14:14:00,16680,6,,0,0,,1
112831950,14:17:00,14:17:00,34195,7,,0,0,,1
112831950,14:22:00,14:22:00,19775,8,,0,0,,1
112831950,14:27:00,14:27:00,25331,9,,0,0,,1
112831950,14:31:00,14:31:00,33535,10,,0,0,,1
112831950,14:33:00,14:33:00,26566,11,,0,0,,1
112831950,14:39:00,14:39:00,34660,12,,0,0,,1
112831950,14:54:09,14:54:09,23955,13,,0,0,,0
112831950,14:56:00,14:56:00,34344,14,,1,0,,1
112831951,13:45:00,13:45:00,18977,1,,0,1,,1
112831951,13:52:00,13:52:00,12433,2,,0,0,,1
112831951,13:53:20,13:53:20,12434,3,,0,0,,0
112831951,13:55:00,13:55:00,12478,4,,0,0,,1
112831951,13:57:29,13:57:29,12509,5,,0,0,,0
112831951,13:59:00,13:59:00,16680,6,,0,0,,1
112831951,14:02:00,14:02:00,34195,7,,0,0,,1
112831951,14:07:00,14:07:00,19775,8,,0,0,,1
112831951,14:12:00,14:12:00,25331,9,,0,0,,1
112831951,14:16:00,14:16:00,33535,10,,0,0,,1
112831951,14:18:00,14:18:00,26566,11,,0,0,,1
112831951,14:24:00,14:24:00,34660,12,,0,0,,1
112831951,14:39:09,14:39:09,23955,13,,0,0,,0
112831951,14:41:00,14:41:00,34344,14,,1,0,,1
112831952,13:30:00,13:30:00,18977,1,,0,1,,1
112831952,13:37:00,13:37:00,12433,2,,0,0,,1
112831952,13:38:20,13:38:20,12434,3,,0,0,,0
