route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
0,SA,112804749,Union Station,0,   0  1,1119022
0,SA,112804750,Union Station,0,   0  4,1119026
0,SA,112804751,Union Station,0,   0 11,1119028
0,SA,112804752,Union Station,0,   0  6,1119028
0,SA,112804753,Union Station,0,   0  3,1119028
0,SA,112804754,Union Station,0,   0 11,1119028
0,SA,112804755,Union Station,0,   0  6,1119022
0,SA,112804756,Union Station,0,   0  3,1119035
0,SA,112804757,Union Station,0,   0  3,1119022
0,SA,112804758,Union Station,0,   0  7,1119022
0,SA,112804759,Union Station,0,   0  7,1119028
0,SA,112804760,Union Station,0,   0 12,1119022
0,SA,112804761,Union Station,0,   0  9,1119022
0,SA,112804762,Union Station,0,   0  7,1119026
0,SA,112804763,Union Station,0,   0 11,1119028
0,SA,112804764,Union Station,0,   0  1,1119028
0,SA,112804765,Union Station,0,   0  6,1119028
0,SA,112804766,Union Station,0,   0 10,1119028
0,SA,112804767,Union Station,0,   0  4,1119028
0,SA,112804768,Union Station,0,   0  5,1119028
0,SA,112804769,Union Station,0,   0 11,1119037
0,SA,112804770,Union Station,0,   0  9,1119026
0,SA,112804771,Union Station,0,   0 11,1119028
0,SA,112804772,Union Station,0,   0 12,1119028
0,SA,112804773,Union Station,0,   0  1,1119028
0,SA,112804774,Union Station,0,   0  9,1119028
0,SA,112804775,Union Station,0,   0  8,1119028
0,SA,112804776,Union Station,0,   0 10,1119022
0,SA,112804777,Union Station,0,   0  2,1119026
0,SA,112804778,Union Station,0,   0  9,1119022
0,SA,112804779,Downtown,0,   0 12,1119021
0,SA,112804780,Union Station,0,   0  6,1119022
0,SA,112804781,Downtown,0,   0  9,1119033
0,SA,112804782,Union Station,0,   0  4,1119028
0,SA,112804783,Union Station,0,   0 12,1119036
0,SA,112804784,Union Station,0,   0  1,1119022
0,SA,112804785,Union Station,0,   0 12,1119022
0,SA,112804786,Union Station,0,   0 10,1119022
0,SA,112804787,Union Station,0,   0  7,1119022
0,SA,112804788,Union Station,0,   0  9,1119022
0,SA,112804789,Union Station,0,   0  7,1119028
0,SA,112804790,Union Station,0,   0 10,1119036
0,SA,112804791,Union Station,0,   0  2,1119035
0,SA,112804792,Union Station,0,   0  6,1119028
0,SA,112804793,Union Station,0,   0  9,1119037
0,SA,112804794,Union Station,0,   0  2,1119022
0,SA,112804795,Union Station,0,   0  4,1119022
0,SA,112804796,Downtown,0,   0  4,1119021
